symbol,name,zacksRankText,zacksRank,sourceSungardExchange,updatedAt
AAPL,Apple Inc.,Hold,3,NASDAQ,2020-11-27T19:00:00.000Z
ABG,"Asbury Automotive Group, Inc.",Buy,2,NYSE,2020-11-27T19:00:00.000Z
AMKR,"Amkor Technology, Inc.",Strong Buy,1,NASDAQ,2020-11-27T19:00:00.000Z
AMRC,"Ameresco, Inc.",Buy,2,NYSE,2020-11-27T19:00:00.000Z
AOSL,Alpha and Omega Semiconductor Limited,Buy,2,NASDAQ,2020-11-27T19:00:00.000Z
AVY,Avery Dennison Corporation,Buy,2,NYSE,2020-11-27T19:02:00.000Z
BABA,Alibaba Group Holding Limited,Hold,3,NYSE,2020-11-27T19:00:00.000Z
BC,Brunswick Corporation,Buy,2,NYSE,2020-11-27T19:00:00.000Z
BCC,"Boise Cascade, L.L.C.",Buy,2,NYSE,2020-11-27T19:00:00.000Z
CALX,"Calix, Inc",Buy,2,NYSE,2020-11-27T19:00:00.000Z
CMBM,Cambium Networks Corporation,Buy,2,NASDAQ,2020-11-27T19:00:00.000Z
EMKR,EMCORE Corporation,Buy,2,NASDAQ,2020-11-27T19:00:00.000Z
ENTG,"Entegris, Inc.",Hold,3,NASDAQ,2020-11-27T19:00:00.000Z
FIZZ,National Beverage Corp.,Buy,2,NASDAQ,2020-11-27T19:00:00.000Z
FTEC,Fidelity MSCI Information Technology Index ETF,Strong Buy,1,NYSE,2020-11-27T19:00:00.000Z
FVRR,Fiverr International Lt.,Buy,2,NYSE,2020-11-27T19:00:00.000Z
FXL,First Trust Technology AlphaDEX ETF,Strong Buy,1,NYSE,2020-11-27T19:00:00.000Z
GRBK,"Green Brick Partners, Inc.",Strong Buy,1,NASDAQ,2020-11-27T19:00:00.000Z
HZO,"MarineMax, Inc.",Strong Buy,1,NYSE,2020-11-27T19:00:00.000Z
INFY,Infosys Limited,Hold,3,NYSE,2020-11-27T19:00:00.000Z
KOP,Koppers Holdings Inc.,Buy,2,NYSE,2020-11-27T19:00:00.000Z
LOGI,Logitech International S.A.,Strong Buy,1,NASDAQ,2020-11-27T19:00:00.000Z
LSTR,"Landstar System, Inc.",Buy,2,NASDAQ,2020-11-27T19:00:00.000Z
MATX,"Matson, Inc.",Strong Buy,1,NYSE,2020-11-27T19:00:00.000Z
MGK,Vanguard Mega Cap Growth ETF,Strong Buy,1,NYSE,2020-11-27T19:00:00.000Z
MPX,Marine Products Corporation,Hold,3,NYSE,2020-11-27T19:00:00.000Z
MRTN,"Marten Transport, Ltd.",Buy,2,NASDAQ,2020-11-27T19:00:00.000Z
MSFT,Microsoft Corporation,Buy,2,NASDAQ,2020-11-27T19:00:00.000Z
MXIM,"Maxim Integrated Products, Inc.",Buy,2,NASDAQ,2020-11-27T19:00:00.000Z
NUS,"Nu Skin Enterprises, Inc.",Buy,2,NYSE,2020-11-27T19:00:00.000Z
OMI,"Owens & Minor, Inc.",Strong Buy,1,NYSE,2020-11-27T19:00:00.000Z
PAG,"Penske Automotive Group, Inc.",Strong Buy,1,NYSE,2020-11-27T19:00:00.000Z
PATK,"Patrick Industries, Inc.",Strong Buy,1,NASDAQ,2020-11-27T19:00:00.000Z
PII,Polaris Inc.,Buy,2,NYSE,2020-11-27T19:00:00.000Z
PRPL,"PURPLE INNOVATION, INC.",Hold,3,NASDAQ,2020-11-27T19:00:00.000Z
QDEL,Quidel Corporation,Strong Buy,1,NASDAQ,2020-11-27T19:00:00.000Z
SAM,"The Boston Beer Company, Inc.",Strong Buy,1,NYSE,2020-11-27T19:00:00.000Z
SCHN,"Schnitzer Steel Industries, Inc.",Strong Buy,1,NASDAQ,2020-11-27T19:00:00.000Z
SMG,The Scotts MiracleGro Company,Hold,3,NYSE,2020-11-27T19:00:00.000Z
SNBR,Sleep Number Corporation,Strong Buy,1,NASDAQ,2020-11-27T19:00:00.000Z
SONO,"Sonos, Inc.",Hold,3,NASDAQ,2020-11-27T19:00:00.000Z
SPWH,"Sportsmans Warehouse Holdings, Inc.",Hold,3,NASDAQ,2020-11-27T19:00:00.000Z
STM,STMicroelectronics N.V.,Buy,2,NYSE,2020-11-27T19:00:00.000Z
TREX,"Trex Company, Inc.",Buy,2,NYSE,2020-11-27T19:00:00.000Z
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Buy,2,NYSE,2020-11-27T19:00:00.000Z
VRSN,"VeriSign, Inc.",Hold,3,NASDAQ,2020-11-27T19:00:00.000Z
VUZI,Vuzix Corporation,Hold,3,NASDAQ,2020-11-27T19:00:00.000Z
WERN,"Werner Enterprises, Inc.",Hold,3,NASDAQ,2020-11-27T19:00:00.000Z
WSO,"Watsco, Inc.",Strong Buy,1,NYSE,2020-11-27T19:00:00.000Z
YETI,"YETI Holdings, Inc.",Strong Buy,1,NYSE,2020-11-27T19:00:00.000Z
ZM,"Zoom Video Communications, Inc.",Hold,3,NASDAQ,2020-11-27T19:00:00.000Z